GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.archive,ExplodedArchive,191,0,22,0,30,0,21,0,10,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.archive,ExplodedArchive.FileEntryIterator,138,0,18,0,31,0,15,0,6,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.archive,JarFileArchive,338,0,38,0,60,0,33,0,14,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.archive,ExplodedArchive.FileEntry,19,0,0,0,7,0,4,0,4,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.archive,JarFileArchive.JarFileEntry,17,0,0,0,6,0,4,0,4,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.archive,JarFileArchive.EntryIterator,23,0,0,0,6,0,4,0,4,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.archive,Archive,1,0,0,0,1,0,1,0,1,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.archive,ExplodedArchive.FileEntryIterator.EntryComparator,9,0,0,0,2,0,2,0,2,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.data,RandomAccessDataFile.DataInputStream,104,0,12,0,19,0,14,0,8,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.data,RandomAccessDataFile,156,0,16,0,34,0,19,0,11,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.data,RandomAccessDataFile.FileAccess,111,0,4,0,28,0,7,0,5,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader,JarLauncher,26,0,2,0,9,0,5,0,4,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader,MainMethodRunner,43,0,2,0,9,0,3,0,2,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader,ContainerLauncher,124,0,6,0,27,0,9,0,6,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader,LaunchedURLClassLoader,245,0,24,0,57,0,22,0,10,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader,ExecutableArchiveLauncher,67,0,4,0,21,0,8,0,6,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader,WarLauncher,35,0,6,0,10,0,7,0,4,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader,ContainerURLClassLoader,5,0,0,0,2,0,1,0,1,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader,Launcher,132,0,12,0,25,0,13,0,7,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader,LaunchedURLClassLoader.UseFastConnectionExceptionsEnumeration,37,0,0,0,9,0,3,0,3,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.util,ResourceUtils,502,0,68,0,102,0,53,0,19,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.util,ClassUtils,1755,0,226,0,353,0,176,0,63,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.jar,Handler,745,0,68,0,145,0,59,0,25,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.jar,CentralDirectoryParser,158,0,12,0,37,0,14,0,8,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.jar,CentralDirectoryFileHeader,329,0,10,0,57,0,24,0,19,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.jar,StringSequence,262,0,38,0,59,0,34,0,15,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.jar,JarFileEntries.new LinkedHashMap() {...},24,0,4,0,5,0,4,0,2,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.jar,JarURLConnection.new URLStreamHandler() {...},5,0,0,0,2,0,2,0,2,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.jar,JarFileEntries.EntryIterator,48,0,4,0,8,0,5,0,3,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.jar,JarURLConnection.new FilterInputStream() {...},18,0,2,0,5,0,3,0,2,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.jar,JarFile.JarFileType,48,0,0,0,2,0,4,0,4,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.jar,CentralDirectoryEndRecord,299,0,26,0,40,0,21,0,8,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.jar,JarFileEntries,614,0,70,0,145,0,61,0,26,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.jar,JarEntry,133,0,16,0,29,0,17,0,9,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.jar,ZipInflaterInputStream,98,0,10,0,27,0,11,0,6,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.jar,CentralDirectoryEndRecord.Zip64Locator,31,0,0,0,7,0,3,0,3,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.jar,CentralDirectoryEndRecord.Zip64End,55,0,0,0,12,0,5,0,5,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.jar,Bytes,28,0,2,0,6,0,3,0,2,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.jar,JarURLConnection.JarEntryName,209,0,26,0,45,0,24,0,11,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.jar,JarURLConnection,531,0,84,0,119,0,63,0,21,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.jar,AsciiBytes,523,0,78,0,102,0,57,0,18,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.jar,JarFile,613,0,56,0,114,0,66,0,38,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.jar,JarFile.new CentralDirectoryVisitor() {...},31,0,4,0,8,0,6,0,4,0
gturbine-container/gturbine-loader,org.excellentcoder.gturbine.loader.jar,JarFile.new Enumeration() {...},18,0,0,0,3,0,3,0,3,0
