GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,MainClassFinder.ClassDescriptor,76,0,10,0,15,0,11,0,6,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,JarWriter.LibraryUnpackHandler,15,0,0,0,5,0,3,0,3,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,Layouts.War,42,0,0,0,12,0,6,0,6,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,Libraries,4,0,0,0,2,0,2,0,2,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,MainClassFinder.SingleMainClassCallback,82,0,12,0,17,0,9,0,3,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,LibraryScope,17,0,0,0,4,0,1,0,1,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,BuildPropertiesWriter,174,0,20,0,29,0,15,0,5,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,Layouts.Jar,13,0,0,0,6,0,6,0,6,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,MainClassFinder,460,0,68,0,78,0,50,0,16,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,LibraryScope.new LibraryScope() {...},5,0,0,0,2,0,2,0,2,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,LibraryScope.new LibraryScope() {...},5,0,0,0,2,0,2,0,2,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,LibraryScope.new LibraryScope() {...},5,0,0,0,2,0,2,0,2,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,LibraryScope.new LibraryScope() {...},5,0,0,0,2,0,2,0,2,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,Repackager.WritableLibraries,135,0,14,0,24,0,12,0,5,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,RunProcess,186,0,22,0,54,0,21,0,10,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,Layouts.None,7,0,0,0,3,0,3,0,3,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,Repackager.RenamingEntryTransformer,114,0,22,0,27,0,13,0,2,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,DefaultLayoutFactory,6,0,0,0,2,0,2,0,2,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,JavaExecutable,86,0,2,0,16,0,6,0,5,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,BuildPropertiesWriter.NullAdditionalPropertyValueException,13,0,0,0,2,0,1,0,1,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,JarWriter.IdentityEntryTransformer,5,0,0,0,2,0,2,0,2,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,BuildPropertiesWriter.ProjectDetails,55,0,4,0,21,0,11,0,9,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,Layouts,56,0,10,0,12,0,7,0,2,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,JarWriter.NeverUnpackHandler,9,0,0,0,3,0,3,0,3,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,SignalUtils,18,0,0,0,5,0,4,0,4,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,Layouts.Expanded,5,0,0,0,2,0,2,0,2,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,JarWriter.ZipHeaderPeekInputStream,158,0,18,0,30,0,16,0,7,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,JarWriter,629,0,76,0,107,0,56,0,18,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,JarWriter.CrcAndSize,108,0,10,0,19,0,9,0,4,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,DefaultLaunchScript,169,0,16,0,40,0,16,0,8,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,Library,45,0,2,0,14,0,8,0,7,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,Repackager,733,0,106,0,131,0,76,0,23,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,MainClassFinder.MainClass,55,0,8,0,18,0,10,0,6,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,JarWriter.InputStreamEntryWriter,26,0,2,0,8,0,3,0,2,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,MainClassFinder.ClassEntryComparator,33,0,2,0,8,0,4,0,3,0
gturbine-maven-plugin/gturbine-loader-tools,org.excellentcoder.gturbine.loader.tools,FileUtils,155,0,22,0,21,0,15,0,4,0
